X,Y,Z
-1.45,0.14,1.7
-1.45,0.14,1.7
-1.45,0.14,1.7
-1.45,0.14,1.7
-1.45,0.14,1.7
-1.45,0.14,1.7
-1.46,0.14,1.7
-1.46,0.14,1.7
-1.46,0.14,1.71
-1.46,0.14,1.71
-1.46,0.14,1.71
-1.46,0.14,1.71
-1.46,0.14,1.71
-1.46,0.14,1.71
-1.46,0.14,1.71
-1.46,0.14,1.71
-1.46,0.14,1.71
-1.46,0.14,1.71
-1.46,0.14,1.71
-1.46,0.14,1.71
-1.46,0.14,1.71
-1.46,0.14,1.71
-1.46,0.14,1.71
-1.46,0.14,1.71
-1.46,0.14,1.71
-1.46,0.14,1.71
-1.46,0.14,1.71
-1.46,0.14,1.71
-1.46,0.14,1.71
-1.46,0.14,1.71
-1.46,0.14,1.7
-1.46,0.14,1.7
-1.46,0.14,1.7
-1.46,0.14,1.7
-1.46,0.14,1.7
-1.46,0.14,1.7
-1.45,0.14,1.7
-1.45,0.14,1.7
-1.45,0.14,1.7
-1.45,0.14,1.7
-1.45,0.14,1.7
-1.45,0.14,1.7
-1.45,0.14,1.7
-1.44,0.14,1.7
-1.44,0.14,1.7
-1.44,0.14,1.7
-1.43,0.14,1.7
-1.43,0.14,1.7
-1.43,0.14,1.71
-1.43,0.14,1.71
-1.42,0.14,1.71
-1.41,0.14,1.71
-1.41,0.14,1.71
-1.4,0.14,1.72
-1.4,0.14,1.72
-1.4,0.14,1.72
-1.39,0.14,1.73
-1.38,0.14,1.73
-1.38,0.14,1.73
